,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
0,MaKo DRX,,291,1.3,218.5,1.37,81%,141.0,0.75,0.46,0.07,0.06,23%,22%,7/32,31,217,158,135,20,18
1,SkRossi GES,,106,1.22,277.8,1.34,78%,173.8,0.96,0.22,0.21,0.17,24%,,0/10,25,102,76,23,22,18
2,k1Ng GEN,,283,1.17,224.9,1.23,75%,149.8,0.78,0.26,0.09,0.07,28%,22%,8/37,23,222,181,74,26,21
3,BuZz DRX,,255,1.16,207.4,1.18,71%,130.9,0.74,0.31,0.06,0.11,24%,24%,7/29,25,188,159,78,16,27
4,Zest DRX,,36,1.15,189.5,1.25,75%,102.7,0.69,0.25,0.03,0.03,32%,50%,2/4,14,25,20,9,1,1
5,SugarZ3ro ZETA,(+1),327,1.13,213.5,1.15,78%,135.0,0.76,0.5,0.06,0.07,22%,9%,3/34,27,249,216,162,20,24
6,something PRX,,180,1.13,233.6,1.17,73%,143.7,0.81,0.18,0.18,0.14,25%,17%,3/18,24,146,125,33,33,25
7,d4v41 PRX,(+2),292,1.12,203.9,1.16,73%,138.3,0.73,0.35,0.07,0.08,22%,19%,6/32,25,213,183,102,19,24
8,Monyet GES,,327,1.12,209.3,1.11,78%,135.1,0.76,0.48,0.09,0.07,28%,24%,8/33,39,249,224,156,31,24
9,xeta T1,(+1),275,1.11,206.8,1.1,76%,131.7,0.71,0.35,0.06,0.04,26%,8%,3/38,21,194,177,97,16,12
10,invy TS,,326,1.11,205.5,1.04,74%,132.7,0.72,0.49,0.08,0.06,31%,10%,4/39,26,236,227,161,27,20
11,xffero RRQ,(+2),283,1.09,211.6,1.1,73%,134.7,0.74,0.33,0.09,0.07,26%,12%,5/42,24,210,191,94,25,19
12,Foxy9 DRX,,291,1.09,243.2,1.2,70%,153.7,0.84,0.18,0.23,0.19,26%,7%,1/15,30,244,203,52,68,55
13,Dep ZETA,,327,1.09,249.5,1.16,73%,157.1,0.85,0.18,0.23,0.15,25%,13%,3/23,29,279,240,58,76,48
14,Jinggg PRX,,294,1.08,228.1,1.07,72%,149.8,0.77,0.3,0.12,0.1,16%,22%,4/18,23,225,210,87,35,28
15,Benkai PRX,(+2),150,1.08,210.7,1.08,71%,138.1,0.73,0.29,0.09,0.07,21%,13%,3/24,21,109,101,43,13,11
16,Emman RRQ,,60,1.08,185.7,1.08,73%,124.9,0.7,0.28,0.08,0.03,34%,50%,2/4,18,42,39,17,5,2
17,stax DRX,(+1),291,1.07,193.2,1.01,75%,120.4,0.66,0.39,0.07,0.08,30%,15%,4/26,21,192,190,114,19,22
18,BORKUM TS,(+1),326,1.06,191.5,0.99,75%,121.8,0.65,0.45,0.07,0.09,18%,18%,8/44,24,213,215,148,22,30
19,Rb DRX,(+2),291,1.06,183.4,1.08,75%,117.2,0.64,0.36,0.08,0.07,23%,37%,11/30,22,185,172,106,24,20
20,Bazzi GES,(+1),327,1.06,193.4,1.0,79%,123.6,0.65,0.5,0.05,0.03,17%,13%,7/52,25,212,212,164,17,11
21,Sayaplayer T1,,275,1.05,219.9,1.14,72%,146.2,0.76,0.16,0.16,0.17,22%,19%,4/21,23,210,184,45,43,46
22,GodDead GEN,,283,1.05,193.8,0.93,78%,124.4,0.64,0.62,0.04,0.05,20%,14%,4/28,22,181,194,175,11,14
23,f0rsakeN PRX,(+3),312,1.04,224.1,1.04,70%,144.7,0.75,0.25,0.17,0.11,27%,32%,6/19,26,234,225,77,52,35
24,Laz ZETA,,327,1.02,177.0,1.06,77%,121.1,0.63,0.32,0.08,0.05,27%,16%,9/56,31,205,193,106,25,16
25,Munchkin T1,,275,1.02,213.5,1.11,68%,139.5,0.75,0.17,0.09,0.13,23%,22%,8/36,24,207,187,47,26,35
26,Suggest DFM,(+1),290,1.01,218.9,1.01,73%,147.5,0.76,0.2,0.12,0.11,29%,7%,2/30,29,220,218,58,36,33
27,Meteor GEN,,283,1.01,220.3,1.06,71%,146.5,0.78,0.2,0.19,0.18,22%,10%,2/21,24,221,208,56,54,51
28,Sylvan GEN,,179,1.01,192.6,1.03,75%,121.7,0.69,0.34,0.09,0.07,25%,9%,2/23,17,124,120,61,16,12
29,t3xture GES,(+1),307,1.01,218.9,1.07,71%,135.5,0.78,0.17,0.16,0.14,26%,25%,6/24,24,239,223,51,49,44
30,TS GEN,,283,1.0,195.3,0.98,73%,122.7,0.67,0.45,0.1,0.13,25%,14%,4/28,20,191,194,126,29,37
31,Jremy TS,,326,0.99,226.0,1.0,71%,145.6,0.75,0.24,0.16,0.17,16%,17%,4/23,22,244,245,77,51,54
32,mindfreak PRX,(+1),312,0.98,159.7,0.92,71%,101.4,0.57,0.41,0.03,0.07,29%,16%,8/51,20,178,193,129,9,23
33,DubsteP TS,(+1),326,0.98,200.0,1.08,72%,134.3,0.73,0.15,0.12,0.12,26%,18%,8/44,28,237,220,49,39,40
34,Reita DFM,,178,0.97,194.9,0.94,71%,135.9,0.69,0.25,0.07,0.1,28%,15%,3/20,20,122,130,45,13,17
35,TENNN ZETA,,327,0.97,203.4,1.0,75%,134.4,0.7,0.19,0.12,0.12,29%,23%,7/30,27,230,231,61,39,39
36,fl1pzjder RRQ,,283,0.97,185.0,0.89,70%,113.8,0.63,0.48,0.08,0.08,26%,12%,4/34,23,179,201,136,22,24
37,JessieVash TS,(+1),326,0.95,171.0,0.88,70%,113.6,0.58,0.33,0.07,0.06,26%,19%,7/36,20,190,216,109,24,20
38,takej DFM,,290,0.95,187.6,0.91,73%,120.4,0.66,0.37,0.09,0.09,34%,16%,8/50,24,192,210,107,25,27
39,iNTRO T1,,74,0.95,194.0,0.9,72%,129.5,0.62,0.39,0.0,0.07,23%,,0/9,14,46,51,29,0,5
40,EJAY RRQ,,283,0.95,209.4,1.01,71%,137.0,0.75,0.16,0.17,0.15,21%,6%,1/18,23,212,210,45,47,42
41,Lmemore RRQ,,283,0.94,203.7,0.95,70%,136.9,0.7,0.17,0.13,0.13,32%,,0/32,24,197,207,49,37,37
42,AYRIN GES,(+1),327,0.93,176.0,0.89,69%,115.7,0.6,0.24,0.06,0.07,21%,11%,5/44,18,195,218,79,20,23
43,eKo GEN,,104,0.93,155.6,0.81,72%,106.9,0.54,0.41,0.1,0.02,27%,8%,1/13,17,56,69,43,10,2
44,2ge RRQ,(+1),223,0.93,157.3,0.88,73%,107.5,0.57,0.36,0.01,0.08,27%,11%,3/28,17,128,145,81,3,18
45,Anthem DFM,(+2),290,0.92,174.2,0.82,77%,118.2,0.58,0.41,0.04,0.09,24%,17%,6/36,21,168,206,119,13,27
46,crow ZETA,(+1),327,0.91,179.3,0.87,78%,116.5,0.62,0.48,0.06,0.06,26%,7%,2/30,22,202,232,156,21,20
47,foxz TLN,(+3),292,0.91,181.4,0.85,68%,122.8,0.62,0.32,0.07,0.08,25%,11%,5/47,22,182,215,94,19,24
48,Sushiboys TLN,,180,0.9,192.1,0.9,65%,125.7,0.68,0.18,0.07,0.08,22%,14%,4/29,22,123,137,33,13,14
49,WRONSKI GES,,203,0.9,188.1,0.81,71%,119.0,0.63,0.49,0.13,0.13,26%,,0/10,23,127,156,99,27,26
50,JitBoyS TLN,(+4),188,0.89,186.9,0.84,70%,124.3,0.66,0.29,0.09,0.11,27%,16%,5/32,27,125,149,54,16,21
51,Patt TLN,(+5),276,0.89,195.5,0.89,65%,134.0,0.68,0.3,0.09,0.12,26%,17%,5/29,24,187,210,82,25,32
52,xnfri DFM,(+3),250,0.89,169.8,0.79,74%,111.8,0.58,0.49,0.04,0.09,27%,6%,2/32,20,145,183,123,11,22
53,ban T1,,201,0.89,173.4,0.9,68%,115.4,0.65,0.32,0.13,0.1,26%,9%,2/23,22,130,145,64,26,20
54,Seoldam DFM,,152,0.89,212.3,0.88,66%,127.8,0.72,0.13,0.21,0.23,14%,,0/12,23,109,124,20,32,35
55,cgrs PRX,,20,0.89,176.0,0.93,70%,117.0,0.65,0.1,0.1,0.15,30%,,0/2,13,13,14,2,2,3
56,garnetS TLN,,232,0.88,199.0,0.87,68%,130.5,0.67,0.16,0.18,0.18,22%,4%,1/24,24,156,180,36,41,41
57,Carpe T1,(+2),275,0.88,165.5,0.78,73%,106.0,0.56,0.45,0.06,0.1,22%,10%,2/21,20,155,200,124,17,28
58,Crws TLN,(+3),292,0.84,184.5,0.76,65%,126.7,0.59,0.4,0.06,0.09,22%,12%,4/33,22,173,227,116,17,27
59,Lightningfast GES,,38,0.83,177.5,0.89,55%,108.7,0.63,0.21,0.18,0.21,20%,,0/1,13,24,27,8,7,8
