,1
0,4:00 PM Sentinels 2 100 Thieves 1 Completed 4w 2d Stats: Map Player VODs: YouTube Twitch Week 1 Regular Season
1,8:15 PM KRÜ Esports 0 FURIA 2 Completed 4w 2d Stats: Map Player VODs: YouTube Twitch Week 1 Regular Season
2,4:00 PM LOUD 2 MIBR 1 Completed 4w 1d Stats: Map Player VODs: YouTube Week 1 Regular Season
3,7:45 PM Evil Geniuses 0 Cloud9 2 Completed 4w 1d Stats: Map Player VODs: YouTube Week 1 Regular Season
4,4:00 PM Leviatán 2 NRG Esports 0 Completed 4w 0d Stats: Map Player VODs: YouTube Week 1 Regular Season
5,4:00 PM Cloud9 1 LOUD 2 Completed 3w 2d Stats: Map Player VODs: YouTube Week 2 Regular Season
6,7:35 PM Leviatán 1 FURIA 2 Completed 3w 2d Stats: Map Player VODs: YouTube Week 2 Regular Season
7,4:00 PM NRG Esports 2 Sentinels 0 Completed 3w 1d Stats: Map Player VODs: YouTube Week 2 Regular Season
8,6:35 PM MIBR 2 KRÜ Esports 1 Completed 3w 1d Stats: Map Player VODs: YouTube Week 2 Regular Season
9,4:00 PM Evil Geniuses 0 100 Thieves 2 Completed 3w 0d Stats: Map Player VODs: YouTube Week 2 Regular Season
