,Team,Wins,Loss,Ties,MAP,RND,Δ
0,DRX South Korea,5,0,0,10/1,144/88,56
1,Gen.G South Korea,4,1,0,9/3,132/109,23
2,Paper Rex Singapore,3,2,0,7/5,134/114,20
3,ZETA DIVISION Japan,3,1,0,6/4,108/101,7
4,T1 South Korea,3,2,0,6/5,101/107,-6
5,Team Secret Philippines,3,2,0,6/6,133/126,7
6,Rex Regum Qeon Indonesia,2,3,0,5/6,108/116,-8
7,Global Esports India,1,4,0,5/8,139/146,-7
8,Talon Esports Thailand,0,4,0,1/8,65/112,-47
9,DetonatioN FocusMe Japan,0,5,0,1/10,89/134,-45
