,1
0,ZETA DIVISION 0 DRX 2
1,T1 2 Global Esports 1
2,Paper Rex 2 DetonatioN FocusMe 0
3,Team Secret 2 Talon Esports 1
4,Rex Regum Qeon 0 Gen.G 2
5,ZETA DIVISION 2 Rex Regum Qeon 1
6,Talon Esports 0 T1 2
7,Team Secret 2 Paper Rex 1
8,Gen.G 2 DetonatioN FocusMe 1
9,Global Esports 0 DRX 2
10,Rex Regum Qeon 2 DetonatioN FocusMe 0
11,T1 0 Paper Rex 2
12,ZETA DIVISION 2 Global Esports 1
13,Talon Esports 0 DRX 2
14,Team Secret 0 Gen.G 2
15,Paper Rex 0 DRX 2
16,Team Secret 0 Rex Regum Qeon 2
17,T1 0 Gen.G 2
18,ZETA DIVISION 2 DetonatioN FocusMe 0
19,Talon Esports 0 Global Esports 2
20,Paper Rex 2 Global Esports 1
21,Gen.G 1 DRX 2
22,T1 2 Rex Regum Qeon 0
23,Team Secret 2 DetonatioN FocusMe 0
24,ZETA DIVISION 0 Talon Esports 2
25,T1 2 DetonatioN FocusMe 1
26,ZETA DIVISION 2 Team Secret 1
27,Global Esports 2 Gen.G 0
28,Rex Regum Qeon 1 DRX 2
29,Talon Esports 1 Paper Rex 2
30,Talon Esports – Gen.G –
31,ZETA DIVISION – Paper Rex –
32,Rex Regum Qeon – Global Esports –
33,Team Secret – T1 –
34,DRX – DetonatioN FocusMe –
35,Paper Rex – Gen.G –
36,ZETA DIVISION – T1 –
37,Team Secret – DRX –
38,Global Esports – DetonatioN FocusMe –
39,Talon Esports – Rex Regum Qeon –
40,ZETA DIVISION – Gen.G –
41,T1 – DRX –
42,Team Secret – Global Esports –
43,Talon Esports – DetonatioN FocusMe –
44,Rex Regum Qeon – Paper Rex –
45,TBD – TBD –
46,TBD – TBD –
47,TBD – TBD –
48,TBD – TBD –
49,TBD – TBD –
50,TBD – TBD –
51,TBD – TBD –
52,TBD – TBD –
53,TBD – TBD –
54,TBD – TBD –
