,1
0,KOI 2 Natus Vincere 0
1,FNATIC 2 Giants Gaming 0
2,Team Heretics 0 FUT Esports 2
3,Team Liquid 1 Team Vitality 2
4,Natus Vincere 2 Giants Gaming 1
5,Karmine Corp 2 BBL Esports 0
6,Team Liquid 2 FUT Esports 1
7,KOI 0 Team Vitality 2
8,FNATIC 2 BBL Esports 1
9,Team Heretics 2 Karmine Corp 0
10,Team Vitality 0 FUT Esports 2
11,Natus Vincere 2 BBL Esports 0
12,FNATIC 2 Team Heretics 0
13,Team Liquid 2 Karmine Corp 0
14,KOI 0 Giants Gaming 2
15,Natus Vincere 2 Team Heretics 1
16,KOI 0 FUT Esports 2
17,Team Liquid 0 FNATIC 2
18,Giants Gaming 2 BBL Esports 0
19,Team Vitality 2 Karmine Corp 0
20,Team Heretics 0 Team Liquid 2
21,FUT Esports 0 Giants Gaming 2
22,Karmine Corp 0 Natus Vincere 2
23,BBL Esports 2 Team Vitality 0
24,Giants Gaming 1 Team Liquid 2
25,BBL Esports 2 Team Heretics 1
26,KOI 1 Karmine Corp 2
27,FUT Esports 0 FNATIC 2
28,Team Vitality 0 Natus Vincere 2
29,Team Vitality – FNATIC –
30,FUT Esports – Karmine Corp –
31,KOI – BBL Esports –
32,Natus Vincere – Team Liquid –
33,Giants Gaming – Team Heretics –
34,KOI – FNATIC –
35,Giants Gaming – Team Vitality –
36,FUT Esports – Natus Vincere –
37,Karmine Corp – FNATIC –
38,BBL Esports – Team Liquid –
39,KOI – Team Heretics –
40,FNATIC – Natus Vincere –
41,Team Heretics – Team Vitality –
42,Karmine Corp – Giants Gaming –
43,KOI – Team Liquid –
44,BBL Esports – FUT Esports –
