,Team,Wins,Loss,Ties,MAP,RND,Δ
0,FNATIC Europe,4,0,0,8/1,110/68,42
1,Natus Vincere Europe,4,1,0,8/4,155/124,31
2,Giants Gaming Europe,3,2,0,7/4,129/110,19
3,FUT Esports Turkey,3,2,0,7/4,119/104,15
4,Team Liquid Europe,3,2,0,7/5,133/109,24
5,Team Vitality Europe,3,2,0,6/5,113/111,2
6,KOI Europe,1,3,0,2/6,82/105,-23
7,BBL Esports Turkey,1,4,0,3/8,118/133,-15
8,Team Heretics Europe,1,4,0,3/8,89/124,-35
9,Karmine Corp France,1,4,0,2/8,72/132,-60
