,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
35,SouhcNi BBL,(+2),315,0.92,173.9,0.86,73%,120.5,0.59,0.29,0.09,0.09,29%,12%,6/49,26,185,215,92,27,29
36,ScreaM KC,,268,0.92,215.5,0.99,70%,146.8,0.77,0.18,0.22,0.15,30%,10%,2/21,33,206,209,48,60,41
37,soulcas TL,(+3),313,0.91,154.1,0.79,73%,97.6,0.51,0.42,0.06,0.07,31%,13%,4/30,19,161,204,133,19,23
38,zeek TH,(+3),277,0.9,196.1,0.87,64%,130.8,0.67,0.25,0.1,0.1,24%,27%,10/37,24,186,215,68,28,29
39,xms KC,(+1),268,0.89,169.5,0.89,70%,125.2,0.6,0.25,0.04,0.05,28%,14%,6/42,30,161,180,66,12,13
40,MOJJ FUT,,240,0.89,176.1,0.86,68%,124.8,0.61,0.21,0.07,0.08,29%,16%,4/25,22,146,169,51,17,18
41,AvovA TH,(+1),277,0.89,171.0,0.84,69%,111.9,0.62,0.31,0.05,0.09,25%,12%,6/52,25,173,205,87,15,26
42,Boo TH,(+2),277,0.87,168.1,0.78,68%,120.8,0.58,0.22,0.05,0.07,25%,12%,5/43,25,160,205,60,13,19
43,rhyme GIA,(+2),310,0.87,156.7,0.79,69%,102.8,0.57,0.29,0.05,0.09,33%,14%,4/28,22,177,224,89,14,28
44,sh1n KC,(+2),268,0.86,167.8,0.83,67%,109.7,0.58,0.26,0.06,0.09,30%,19%,4/21,20,156,189,71,17,25
45,starxo KOI,(+2),232,0.86,172.8,0.82,72%,121.7,0.62,0.43,0.1,0.13,21%,13%,3/24,36,144,175,99,23,30
46,Wolfen KOI,,232,0.84,200.8,0.91,69%,132.7,0.7,0.18,0.14,0.19,29%,11%,2/19,25,162,179,41,33,43
47,Muj FUT,,38,0.82,169.5,0.77,63%,109.4,0.61,0.24,0.11,0.08,20%,33%,1/3,13,23,30,9,4,3
48,keloqz TH,,277,0.79,187.8,0.8,64%,121.8,0.65,0.13,0.16,0.21,27%,22%,5/23,21,179,224,35,44,58
49,koldamenta KOI,,232,0.79,140.8,0.64,69%,88.7,0.46,0.38,0.03,0.08,27%,19%,6/32,14,107,168,89,6,18
50,Mixwell TH,(+4),277,0.77,170.4,0.72,65%,112.5,0.57,0.34,0.06,0.1,21%,14%,4/28,21,158,219,95,17,27
51,ZE1SH KC,,108,0.73,149.2,0.66,64%,93.5,0.48,0.38,0.04,0.12,28%,13%,1/8,16,52,79,41,4,13
52,Newzera KC,,160,0.7,124.8,0.68,65%,91.1,0.44,0.28,0.04,0.08,40%,4%,1/28,20,71,104,44,6,13
