,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
0,Sayf TL,,313,1.38,275.2,1.56,77%,169.9,0.97,0.23,0.21,0.12,25%,25%,8/32,28,305,196,72,67,39
1,Alfajer FNC,,109,1.29,221.8,1.67,82%,150.0,0.83,0.19,0.13,0.07,26%,18%,2/11,23,90,54,21,14,8
2,Derke FNC,,214,1.26,285.8,1.42,78%,182.3,1.0,0.18,0.29,0.16,27%,,0/11,25,215,151,38,62,35
3,Chronicle FNC,(+1),214,1.26,224.5,1.39,85%,145.8,0.81,0.5,0.07,0.06,26%,22%,4/18,19,174,125,108,16,12
4,Leo FNC,,214,1.24,207.0,1.37,84%,138.0,0.74,0.4,0.03,0.03,21%,17%,3/18,24,158,115,85,7,6
5,cNed NAVI,,325,1.19,240.6,1.25,74%,155.9,0.84,0.25,0.17,0.16,27%,10%,3/31,28,274,220,81,54,51
6,Cloud GIA,,310,1.18,235.0,1.25,76%,152.2,0.83,0.27,0.09,0.1,31%,19%,6/31,30,258,206,83,28,30
7,Shao NAVI,(+4),325,1.17,198.0,1.21,78%,129.9,0.7,0.31,0.06,0.06,33%,24%,13/55,27,228,188,102,21,20
8,Zyppan NAVI,,325,1.15,209.0,1.1,76%,133.9,0.74,0.39,0.09,0.08,35%,15%,4/26,25,239,217,128,29,25
9,nukkye GIA,(+1),310,1.13,220.6,1.11,75%,146.6,0.75,0.29,0.11,0.11,21%,23%,8/35,30,231,208,90,34,33
10,Jamppi TL,(+1),313,1.13,211.9,1.18,72%,135.6,0.74,0.35,0.07,0.06,29%,38%,10/26,26,231,196,109,22,18
11,Boaster FNC,,214,1.11,173.6,1.07,81%,110.3,0.62,0.44,0.07,0.09,23%,56%,5/9,17,132,123,94,14,20
12,nAts TL,,313,1.09,211.2,1.24,74%,140.5,0.79,0.27,0.1,0.07,31%,5%,2/41,33,246,198,84,31,22
13,qw1 FUT,,240,1.09,232.5,1.19,69%,149.0,0.84,0.15,0.21,0.17,25%,11%,4/35,28,201,169,36,50,40
14,kamyk FNC,,105,1.08,199.8,1.23,73%,126.6,0.75,0.17,0.12,0.07,29%,7%,1/15,22,79,64,18,13,7
15,hoody GIA,,310,1.08,206.6,1.03,73%,136.4,0.71,0.35,0.09,0.08,24%,7%,3/43,22,220,214,108,27,26
16,QutionerX BBL,(+1),315,1.08,244.5,1.11,69%,159.2,0.85,0.18,0.2,0.15,25%,17%,5/29,28,267,241,58,62,47
17,trexx KOI,,232,1.07,219.9,1.02,72%,150.8,0.75,0.36,0.1,0.13,18%,14%,3/22,33,175,172,83,23,30
18,SUYGETSU NAVI,(+1),325,1.07,189.5,1.09,76%,132.2,0.69,0.24,0.07,0.06,28%,6%,2/32,32,223,205,79,22,18
19,sheydos KOI,(+1),232,1.07,217.9,1.23,74%,145.2,0.83,0.25,0.06,0.05,30%,10%,4/40,36,193,157,57,14,12
20,AtaKaptan FUT,(+2),202,1.05,201.5,1.11,75%,128.1,0.74,0.33,0.07,0.07,25%,19%,4/21,22,149,134,67,15,15
21,Fit1nho GIA,,310,1.04,207.9,1.14,73%,135.3,0.76,0.22,0.18,0.11,30%,12%,3/25,29,235,206,68,55,35
22,Twisten VIT,,270,1.01,216.4,1.12,67%,140.5,0.8,0.11,0.18,0.16,24%,16%,5/31,27,216,193,31,48,42
23,Nivera KC,,268,0.99,200.3,1.08,70%,129.5,0.74,0.21,0.14,0.09,30%,14%,4/29,29,198,183,57,38,25
24,ceNder VIT,,270,0.99,205.4,0.98,66%,141.0,0.71,0.2,0.1,0.09,26%,10%,5/48,21,191,195,54,26,24
25,MOLSI VIT,(+1),270,0.97,174.6,0.85,69%,117.1,0.61,0.37,0.09,0.07,25%,8%,2/26,23,164,192,99,24,18
26,qRaxs FUT,(+1),240,0.96,191.7,0.89,73%,121.8,0.67,0.38,0.08,0.08,26%,7%,2/28,24,161,180,92,20,18
27,BONECOLD VIT,(+2),270,0.96,180.5,0.88,69%,117.4,0.62,0.36,0.08,0.1,27%,16%,5/31,21,168,192,98,22,28
28,Turko BBL,(+1),315,0.96,167.5,0.92,76%,112.0,0.63,0.32,0.05,0.06,33%,20%,9/45,23,197,214,101,16,19
29,ANGE1 NAVI,(+2),325,0.95,195.8,0.94,74%,126.5,0.67,0.29,0.13,0.13,32%,16%,3/19,25,218,233,93,43,42
30,AsLanM4shadoW BBL,,315,0.94,205.3,1.03,68%,137.3,0.75,0.19,0.08,0.11,27%,23%,7/31,28,235,229,60,24,34
31,Brave BBL,(+1),315,0.94,187.9,0.9,71%,118.5,0.64,0.34,0.09,0.1,33%,20%,6/30,24,202,225,107,28,32
32,Destrian VIT,,270,0.94,169.0,0.81,71%,105.8,0.56,0.43,0.04,0.1,24%,,0/17,24,152,187,116,11,26
33,MrFaliN FUT,(+2),240,0.94,179.9,0.83,69%,115.9,0.6,0.41,0.05,0.11,23%,19%,5/26,21,145,174,99,13,27
34,Redgar TL,,313,0.93,175.5,0.87,70%,111.8,0.6,0.42,0.1,0.13,34%,7%,2/27,20,189,218,131,30,42
