,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
42,Kr1stal SZ,(+1),283,1.19,229.7,1.26,75%,149.4,0.8,0.34,0.09,0.05,23%,11%,4/37,28,226,179,96,26,14
43,Jesse VLNT,,222,1.19,233.8,1.21,77%,153.3,0.84,0.42,0.11,0.04,27%,6%,2/33,38,187,155,94,24,9
44,Derke FNC,,485,1.19,272.5,1.31,74%,176.3,0.94,0.19,0.25,0.18,26%,8%,2/26,32,457,348,90,122,86
45,signed RNG,(+4),254,1.19,241.2,1.24,76%,157.1,0.83,0.36,0.12,0.09,22%,13%,5/38,27,210,170,91,31,22
46,Temperature YFP,(+1),236,1.19,226.0,1.23,80%,149.3,0.76,0.4,0.08,0.08,23%,21%,6/29,24,179,146,95,20,19
47,kiNgg LEV,,331,1.19,215.1,1.27,79%,143.7,0.76,0.44,0.09,0.09,28%,33%,12/36,27,251,198,147,30,30
48,koalanoob M80,,404,1.19,255.2,1.37,76%,155.0,0.91,0.17,0.25,0.18,21%,20%,6/30,28,369,270,70,102,71
49,PTC MiTH,,350,1.19,219.2,1.34,76%,147.9,0.79,0.29,0.08,0.07,24%,21%,7/34,26,278,207,103,28,25
50,Kajuks arma,(+1),362,1.19,235.4,1.27,78%,157.7,0.83,0.33,0.13,0.07,28%,24%,9/37,31,300,236,121,48,25
51,meL V1,(+1),389,1.19,201.9,1.18,80%,128.0,0.72,0.5,0.09,0.1,28%,17%,5/30,28,280,238,195,36,40
52,TajReX LDS,,229,1.18,272.8,1.21,72%,174.1,0.92,0.22,0.26,0.2,24%,10%,1/10,25,211,174,51,60,45
53,marteen GMT,(+1),229,1.18,272.1,1.33,77%,179.4,0.94,0.23,0.21,0.13,23%,,0/15,44,216,162,52,47,29
54,ALIVE ACE,,275,1.18,233.5,1.31,76%,147.0,0.85,0.15,0.19,0.17,27%,30%,7/23,28,235,179,40,51,48
55,PapiChulo NAOS,(+1),364,1.18,213.0,1.26,84%,139.3,0.74,0.45,0.08,0.04,26%,13%,8/62,25,268,212,164,29,13
56,zander M80,(+1),404,1.18,223.1,1.16,82%,138.3,0.75,0.56,0.1,0.11,21%,29%,9/31,24,304,261,227,42,46
57,margeaux FS.SPH,(+1),225,1.18,219.4,1.14,75%,143.3,0.77,0.49,0.07,0.1,28%,28%,7/25,23,174,152,111,15,23
58,VYX VRA,(+1),304,1.18,214.8,1.2,79%,139.5,0.77,0.36,0.09,0.06,29%,15%,7/48,26,234,195,110,28,19
59,Zyppan NAVI,,318,1.18,207.1,1.17,78%,134.2,0.75,0.45,0.1,0.08,36%,26%,5/19,25,239,205,142,31,24
60,ZmjjKK EDG,,442,1.18,265.8,1.28,72%,162.4,0.92,0.17,0.24,0.18,19%,30%,10/33,26,407,317,77,106,79
61,Brinks TBK,(+3),400,1.18,222.8,1.3,78%,140.3,0.81,0.4,0.05,0.07,25%,9%,6/68,26,323,248,158,20,26
62,dodonut MxM.R,(+1),612,1.18,253.0,1.28,75%,172.8,0.89,0.24,0.14,0.14,21%,28%,15/54,39,545,426,144,85,86
63,StarBound,,334,1.17,265.5,1.23,72%,173.4,0.9,0.21,0.18,0.12,20%,4%,2/48,28,300,243,70,59,39
64,PowerPixele EG.GC,(+1),517,1.17,216.3,1.16,78%,136.8,0.74,0.49,0.1,0.08,20%,9%,3/34,24,384,332,255,53,39
65,doma VLTG,,210,1.17,228.5,1.27,78%,144.9,0.81,0.2,0.13,0.1,21%,5%,1/20,21,171,135,41,27,20
66,logaN M8,,269,1.17,224.3,1.31,76%,149.3,0.82,0.2,0.08,0.05,26%,7%,3/42,26,221,169,54,22,14
67,1nput,(+1),245,1.17,190.8,1.18,77%,127.4,0.71,0.41,0.05,0.04,33%,23%,8/35,19,174,147,100,13,9
68,Moh FLC,(+2),388,1.17,220.5,1.23,73%,143.2,0.79,0.31,0.1,0.09,27%,13%,8/61,29,308,251,121,39,35
69,toozy FCN,(+1),602,1.17,222.9,1.22,76%,148.4,0.77,0.41,0.08,0.06,27%,14%,10/70,25,461,379,244,49,34
70,Kohaibi SMG.GC,(+3),272,1.17,220.1,1.23,84%,147.8,0.78,0.33,0.11,0.11,24%,21%,3/14,22,212,173,90,30,31
71,Chloettw OGT.X,,431,1.17,253.0,1.23,80%,160.2,0.86,0.26,0.13,0.09,13%,11%,5/45,31,369,300,113,55,40
72,Bones NSIC,(+3),200,1.17,229.2,1.21,77%,143.4,0.76,0.4,0.13,0.1,24%,20%,4/20,27,152,126,80,25,19
73,b3ta MiTH,,350,1.17,193.3,1.23,79%,125.6,0.7,0.53,0.08,0.08,30%,37%,14/38,25,244,199,186,28,29
74,YESicaN FCY,(+3),313,1.17,211.8,1.18,83%,131.8,0.73,0.55,0.09,0.07,26%,14%,4/29,21,227,193,172,29,23
75,silentzz Peit,,334,1.17,269.9,1.29,74%,172.0,0.94,0.15,0.2,0.16,33%,10%,3/29,52,313,243,49,67,55
76,JA NAOS,(+1),364,1.17,257.2,1.25,73%,165.3,0.9,0.2,0.23,0.18,26%,17%,4/23,25,326,260,71,85,65
77,westside,,229,1.17,218.1,1.29,75%,144.6,0.81,0.17,0.05,0.07,27%,18%,7/40,24,185,143,38,12,16
78,tesseract OGS,(+1),330,1.17,236.6,1.3,73%,151.2,0.86,0.23,0.12,0.05,31%,14%,4/29,30,283,217,77,39,18
79,Joojina TL,(+2),367,1.16,200.9,1.25,77%,129.2,0.73,0.4,0.06,0.07,28%,22%,8/37,20,268,214,145,21,24
80,txddy Peit,(+2),334,1.16,211.9,1.26,78%,139.0,0.72,0.24,0.07,0.04,29%,11%,5/44,30,242,192,79,24,14
81,Neon SILK,,362,1.16,238.8,1.24,73%,152.7,0.82,0.19,0.25,0.17,19%,18%,6/33,24,298,240,67,89,61
82,Georggyyy PHI,(+1),410,1.16,260.5,1.2,71%,163.4,0.89,0.24,0.22,0.19,24%,27%,4/15,29,365,303,100,89,79
83,rawfiul OGS,,330,1.16,237.7,1.28,76%,153.0,0.85,0.18,0.18,0.12,30%,20%,6/30,27,282,221,58,59,38
84,Kanpeki TSM,(+1),378,1.16,202.5,1.12,81%,127.6,0.71,0.56,0.07,0.04,24%,12%,6/52,28,270,241,211,28,16
85,UNFAKE TQ,,211,1.16,239.5,1.29,78%,162.0,0.84,0.3,0.1,0.03,37%,24%,6/25,25,178,138,63,22,7
86,paTiTek DIA,(+3),297,1.16,202.8,1.15,77%,128.7,0.73,0.47,0.07,0.05,29%,14%,5/36,23,217,188,141,20,16
87,xavi8k PHI,(+3),385,1.16,234.4,1.15,79%,152.1,0.79,0.44,0.12,0.11,18%,5%,2/38,28,306,265,168,48,43
88,falltw RAAD,(+1),273,1.16,248.8,1.15,77%,157.1,0.84,0.39,0.12,0.09,26%,17%,5/29,21,230,200,106,34,24
89,skz,(+2),514,1.16,231.0,1.19,75%,149.8,0.84,0.36,0.08,0.07,31%,23%,13/57,28,432,362,185,42,36
90,JUGi FKS,,326,1.16,230.2,1.27,73%,151.4,0.83,0.17,0.14,0.1,19%,15%,6/40,28,270,212,55,46,32
91,Chronicle FNC,(+2),485,1.16,208.6,1.19,78%,134.8,0.75,0.45,0.08,0.07,25%,22%,7/32,28,362,303,220,39,35
92,W4nteD RV,,569,1.16,209.6,1.15,77%,135.8,0.75,0.38,0.08,0.06,32%,17%,15/86,34,425,370,219,44,36
93,Muffyn FS.SPH,,225,1.16,249.9,1.15,73%,159.0,0.84,0.24,0.2,0.16,20%,18%,3/17,28,189,164,54,44,37
94,shy EYG,,589,1.15,257.6,1.25,70%,164.7,0.91,0.15,0.21,0.17,28%,20%,9/46,32,535,429,89,124,101
95,kamo GTZ,(+3),266,1.15,270.8,1.2,69%,173.4,0.92,0.24,0.19,0.15,33%,11%,2/19,31,245,205,65,51,40
96,SyouTa FL,,364,1.15,228.7,1.27,74%,149.7,0.84,0.33,0.1,0.07,29%,14%,7/50,27,305,241,119,36,27
97,Autumn GDR,,414,1.15,237.3,1.27,68%,144.0,0.85,0.11,0.24,0.14,23%,14%,5/37,25,353,277,46,99,58
98,Persia OGS,(+1),256,1.15,207.5,1.19,70%,135.1,0.75,0.38,0.09,0.06,25%,28%,13/46,23,192,161,96,23,16
99,ZesBeeW BTR,,455,1.15,258.1,1.27,75%,161.0,0.88,0.16,0.21,0.13,20%,10%,4/42,29,400,315,72,96,61
100,Enzo APK,(+1),207,1.15,189.6,1.18,76%,125.1,0.67,0.34,0.1,0.06,18%,22%,7/32,17,138,117,71,21,13
101,Kush INA,(+2),363,1.15,235.7,1.23,73%,154.5,0.83,0.26,0.1,0.07,29%,19%,7/36,25,302,245,94,37,26
102,BMV BAAM,(+1),266,1.15,203.7,1.11,76%,133.5,0.73,0.38,0.09,0.05,30%,18%,8/44,29,194,175,101,23,14
103,isaa TL,,367,1.15,206.4,1.16,74%,135.5,0.71,0.25,0.11,0.08,21%,14%,5/37,22,259,223,93,41,30
104,Smoke YFP,,236,1.15,213.7,1.34,75%,141.8,0.8,0.15,0.11,0.06,21%,14%,5/35,20,189,141,36,25,13
105,zeddy TU,(+2),422,1.15,221.2,1.2,80%,138.7,0.78,0.45,0.09,0.08,23%,16%,10/63,24,329,274,190,40,34
106,Kheops GK,,253,1.15,195.4,1.14,77%,127.0,0.68,0.36,0.05,0.05,23%,19%,8/42,21,173,152,91,13,13
107,lysoar,,281,1.15,219.6,1.25,77%,146.0,0.78,0.26,0.1,0.08,24%,14%,4/29,25,218,174,73,27,22
108,pancc UNI,,375,1.15,218.5,1.29,74%,145.6,0.78,0.2,0.07,0.07,25%,17%,8/46,28,291,225,74,25,27
109,Witz NAOS,(+1),364,1.14,214.5,1.23,80%,141.1,0.77,0.41,0.07,0.08,23%,10%,3/29,23,282,230,149,27,28
110,Logan LV,,602,1.14,233.6,1.23,75%,154.7,0.83,0.21,0.19,0.15,21%,10%,4/42,31,500,406,124,116,93
111,Nexi PHI,,430,1.14,206.0,1.23,76%,137.9,0.75,0.18,0.07,0.05,22%,13%,7/53,27,321,261,79,32,20
112,CHICHOO EDG,(+3),442,1.14,211.4,1.18,75%,143.1,0.76,0.34,0.09,0.06,26%,25%,13/51,26,335,285,152,39,27
113,eeiu M80,,404,1.14,206.7,1.16,77%,135.6,0.74,0.38,0.05,0.05,28%,20%,9/46,26,298,256,155,22,22
114,kobra CGZ,,227,1.14,251.1,1.24,68%,159.6,0.9,0.14,0.18,0.16,27%,19%,4/21,30,204,165,31,41,36
115,CaspeR OGT.X,(+1),431,1.14,220.0,1.15,77%,143.3,0.78,0.46,0.06,0.06,28%,21%,11/53,27,337,292,198,27,24
116,ACHRF OXR,,237,1.14,237.2,1.13,71%,159.6,0.79,0.34,0.11,0.09,24%,20%,5/25,23,188,166,81,25,22
117,Shalaby GK,,253,1.14,225.9,1.26,79%,142.6,0.8,0.22,0.09,0.06,24%,16%,6/38,24,203,161,56,24,15
118,Dark3st NW,(+3),711,1.14,224.4,1.17,75%,145.6,0.78,0.45,0.1,0.12,27%,25%,14/55,29,554,472,323,68,85
119,Egoist X10,(+1),452,1.14,224.7,1.19,74%,150.8,0.77,0.25,0.09,0.07,25%,19%,13/69,25,348,293,111,39,30
120,Spaz Blinn,(+4),478,1.14,217.5,1.18,77%,141.6,0.76,0.38,0.05,0.05,21%,17%,11/63,27,365,309,183,25,23
121,liazzi VKS,(+1),495,1.14,230.2,1.14,77%,148.8,0.81,0.33,0.15,0.1,21%,18%,9/51,29,400,351,162,73,50
122,Pajko DK,,271,1.14,260.6,1.17,71%,177.3,0.89,0.23,0.21,0.15,22%,21%,3/14,29,242,206,61,58,41
123,Esperanza DK,,286,1.14,219.9,1.29,79%,146.7,0.81,0.25,0.1,0.08,27%,19%,4/21,30,231,179,71,28,24
124,Verno OXG,(+1),465,1.14,221.6,1.28,73%,148.1,0.82,0.28,0.06,0.04,27%,21%,16/77,29,381,297,131,29,20
125,nukkye GIA,,201,1.14,217.4,1.17,76%,147.8,0.76,0.22,0.11,0.09,20%,23%,6/26,30,153,131,45,22,18
126,ara ECO,,231,1.14,244.8,1.16,75%,160.7,0.87,0.29,0.16,0.14,33%,8%,2/26,23,201,173,66,36,33
127,ec1s VLTG,(+4),210,1.14,203.9,1.1,81%,131.1,0.7,0.51,0.05,0.06,24%,9%,2/22,23,147,134,108,11,13
128,Dragon 95x,(+2),358,1.13,254.4,1.18,71%,165.6,0.87,0.22,0.15,0.14,28%,17%,5/29,33,313,266,78,53,49
129,Leviathan,(+1),506,1.13,222.7,1.18,70%,141.4,0.82,0.32,0.1,0.08,32%,17%,15/86,27,415,352,162,53,40
130,gin FCY,(+1),313,1.13,211.9,1.14,74%,138.9,0.73,0.28,0.12,0.11,29%,16%,5/32,24,230,202,88,38,35
131,NDG NAOS,(+2),364,1.13,206.6,1.17,80%,132.3,0.75,0.37,0.06,0.06,20%,19%,5/27,22,274,235,136,23,22
132,sharky COL,(+1),392,1.13,189.8,1.02,77%,124.7,0.66,0.52,0.05,0.05,20%,20%,9/45,23,259,255,202,21,18
133,Vince Veni,(+3),335,1.13,191.9,1.13,76%,121.1,0.66,0.52,0.04,0.05,20%,19%,7/37,21,220,195,174,15,16
134,Bob XSET,(+4),412,1.13,222.9,1.17,75%,147.4,0.76,0.33,0.09,0.06,25%,19%,14/72,24,312,266,138,38,26
135,nandinh0 BTF,(+1),286,1.13,216.7,1.11,72%,145.8,0.75,0.38,0.13,0.07,24%,22%,10/45,25,214,192,108,36,21
136,Flaqqo BBC,(+3),206,1.13,231.9,1.19,70%,151.2,0.82,0.29,0.09,0.07,25%,6%,2/35,27,169,142,60,19,15
137,Excali VLTG,(+1),210,1.13,202.7,1.1,72%,124.3,0.7,0.41,0.07,0.11,25%,13%,2/16,21,148,134,87,15,23
138,Shyy LEV,,331,1.13,213.0,1.18,74%,142.4,0.76,0.21,0.11,0.04,20%,7%,2/28,30,251,213,70,35,14
139,cNed NAVI,(+1),318,1.13,237.1,1.18,72%,153.1,0.81,0.2,0.16,0.15,25%,11%,3/27,28,259,219,64,51,47
140,Kntz RTS,,322,1.13,218.1,1.17,74%,139.9,0.78,0.38,0.06,0.08,25%,16%,11/68,28,252,215,121,19,27
141,AloNeFillz MiTH,(+3),350,1.13,195.1,1.19,78%,134.1,0.69,0.33,0.07,0.08,23%,12%,6/50,22,241,202,117,23,27
142,zery ECO,(+1),429,1.13,238.0,1.19,73%,155.9,0.83,0.26,0.1,0.11,31%,22%,9/41,26,358,300,111,42,47
143,BuZz DRX,(+1),240,1.13,220.0,1.17,74%,140.0,0.78,0.32,0.09,0.13,23%,20%,5/25,24,187,160,76,22,30
144,snarly,,222,1.13,208.6,1.14,75%,131.4,0.77,0.39,0.11,0.09,35%,21%,6/29,22,170,149,86,24,20
145,baddyG ACE,,275,1.13,214.8,1.19,80%,133.1,0.73,0.43,0.09,0.05,24%,11%,3/27,21,201,169,117,26,15
146,dip Outl,(+2),378,1.13,212.2,1.17,78%,139.2,0.74,0.36,0.12,0.08,18%,16%,7/44,23,281,241,136,47,31
147,Emzuwu Syd',(+2),252,1.13,208.7,1.16,76%,136.1,0.75,0.35,0.04,0.02,19%,5%,2/44,21,190,164,89,10,6
148,m0rea INA,(+1),455,1.13,212.9,1.15,73%,134.7,0.73,0.46,0.09,0.08,33%,21%,13/62,28,331,289,211,39,37
149,MANNICK ESC,(+1),524,1.12,230.2,1.1,72%,154.0,0.77,0.34,0.14,0.1,25%,14%,8/56,23,405,368,176,74,52
150,trent TGRD,(+1),427,1.12,211.3,1.14,77%,144.7,0.71,0.33,0.06,0.07,26%,10%,6/61,25,302,266,142,27,31
151,Shawn12590 NSIC,,423,1.12,201.4,1.14,78%,133.8,0.73,0.39,0.05,0.06,24%,17%,10/58,27,309,270,165,21,25
152,RieNs S2G,,360,1.12,210.8,1.19,76%,136.5,0.75,0.33,0.07,0.08,33%,20%,5/25,26,269,226,118,26,30
153,maestr0,,313,1.12,259.1,1.21,71%,163.5,0.9,0.16,0.22,0.17,29%,13%,3/23,30,282,234,50,68,52
154,Shniider RAAD,,273,1.12,216.7,1.08,78%,147.0,0.76,0.3,0.11,0.07,39%,16%,5/32,28,207,191,81,30,19
155,mikalulba ARF,(+1),358,1.12,205.6,1.13,75%,132.5,0.73,0.41,0.06,0.04,22%,31%,15/49,30,262,231,148,20,14
156,Monyet GES,,285,1.12,226.6,1.18,75%,146.6,0.82,0.4,0.13,0.09,26%,21%,6/28,39,235,200,114,36,26
157,moose SR,(+3),373,1.12,204.6,1.18,75%,136.8,0.73,0.31,0.08,0.06,23%,14%,10/69,26,271,230,115,28,21
158,Jelly LOUD,(+2),313,1.12,235.5,1.11,73%,154.4,0.8,0.4,0.12,0.12,29%,26%,5/19,25,251,226,125,39,36
159,ShadoW APK,(+1),207,1.12,190.8,1.1,81%,115.9,0.68,0.41,0.04,0.06,22%,30%,7/23,20,141,128,84,9,13
160,sSef SCC.V,(+2),289,1.12,227.0,1.14,74%,143.0,0.79,0.33,0.15,0.1,21%,9%,3/33,23,227,200,96,44,29
161,russ S2G,,360,1.12,242.5,1.25,78%,157.3,0.88,0.15,0.19,0.12,20%,10%,5/49,30,315,252,55,69,44
162,thiefy IGZ,,228,1.12,266.5,1.22,70%,168.4,0.93,0.17,0.24,0.19,18%,17%,3/18,25,211,173,38,54,43
163,smiley,(+3),385,1.12,213.8,1.07,77%,132.1,0.74,0.49,0.06,0.06,28%,3%,1/33,23,283,265,190,24,23
164,HearthBeat GMT,(+1),229,1.12,203.3,1.05,78%,131.1,0.7,0.51,0.07,0.07,25%,18%,4/22,25,161,153,116,17,15
165,Yurii CASE,(+2),478,1.11,210.8,1.13,72%,133.8,0.75,0.42,0.06,0.08,19%,11%,5/46,28,360,318,203,29,37
166,AFoxx GMT,,229,1.11,193.7,1.15,70%,130.8,0.71,0.2,0.1,0.06,37%,24%,8/33,25,163,142,46,22,14
167,Mojer NAOS,(+2),364,1.11,205.5,1.1,77%,138.2,0.71,0.22,0.09,0.1,22%,26%,9/35,21,258,235,79,34,37
168,mizu 9z,,253,1.11,216.0,1.19,75%,138.9,0.77,0.25,0.13,0.08,39%,26%,6/23,20,195,164,62,34,19
169,havoc UNI,,375,1.11,233.4,1.15,69%,151.9,0.79,0.18,0.22,0.18,22%,27%,7/26,29,298,259,67,84,66
170,Juicy BLD,,301,1.11,224.0,1.18,77%,149.4,0.8,0.25,0.15,0.14,23%,,0/10,31,241,204,74,46,43
171,tixx GDR,(+2),414,1.11,219.6,1.15,75%,141.4,0.77,0.35,0.11,0.07,31%,12%,5/42,30,319,278,146,47,27
172,invy TS,(+1),209,1.11,199.7,1.03,73%,130.1,0.7,0.5,0.08,0.07,30%,17%,5/29,26,147,143,104,16,15
173,Scottie DK,(+3),271,1.11,211.1,1.14,75%,135.5,0.77,0.32,0.08,0.07,26%,10%,3/29,25,209,183,87,23,20
174,Alfajer FNC,,380,1.11,197.2,1.22,78%,136.4,0.71,0.22,0.08,0.06,26%,15%,8/54,21,271,223,83,29,24
175,Wo0t FF,(+5),490,1.11,228.9,1.15,74%,144.5,0.79,0.36,0.14,0.12,32%,15%,5/33,28,388,338,176,71,59
176,AAAAY FPX,(+1),281,1.11,221.1,1.25,75%,145.7,0.81,0.3,0.1,0.09,31%,17%,4/23,22,229,183,85,28,24
177,Br0die ACE,(+1),275,1.11,191.0,1.09,75%,126.8,0.67,0.34,0.08,0.07,21%,14%,4/29,30,183,168,94,21,18
178,Distinct THET,(+2),253,1.11,211.8,1.1,75%,129.5,0.73,0.47,0.06,0.06,30%,21%,7/34,23,185,168,118,16,16
179,nerve DSG,(+1),404,1.11,210.6,1.12,75%,138.9,0.74,0.29,0.07,0.07,21%,10%,6/63,25,300,269,117,29,30
180,PROFEK DIA,(+2),265,1.11,207.8,1.2,72%,135.1,0.78,0.34,0.09,0.09,30%,16%,5/31,26,207,172,89,25,24
181,B1SK KPI,,334,1.11,252.2,1.25,70%,160.4,0.89,0.17,0.23,0.17,20%,23%,7/31,29,298,239,56,78,58
182,itnothan MxM.R,(+1),612,1.11,210.2,1.06,77%,138.8,0.72,0.48,0.07,0.06,22%,19%,17/91,24,441,418,296,45,37
183,MICKNUTTY333 NBG,(+1),385,1.11,203.5,1.1,76%,131.6,0.71,0.39,0.07,0.09,25%,19%,9/47,19,274,249,149,26,33
184,Nex RV,(+2),569,1.11,230.7,1.13,72%,144.7,0.8,0.19,0.18,0.14,24%,20%,8/41,36,457,403,106,104,78
185,alexis V1,(+1),389,1.11,171.9,0.97,80%,111.2,0.58,0.63,0.05,0.06,28%,5%,2/44,22,227,234,246,18,24
186,feqew DSY,(+1),202,1.11,245.6,1.24,70%,160.7,0.86,0.25,0.19,0.19,22%,6%,1/16,29,173,139,50,39,38
187,sociablEE FF,,504,1.1,241.6,1.16,74%,155.5,0.83,0.2,0.23,0.12,24%,13%,5/38,29,417,361,99,117,61
188,Lakia DK,(+2),286,1.1,210.4,1.07,77%,132.2,0.69,0.38,0.1,0.1,25%,28%,9/32,20,198,185,110,30,29
189,nephh BLD,(+1),317,1.1,198.1,1.02,77%,125.0,0.67,0.41,0.09,0.06,22%,19%,7/37,23,212,207,130,27,20
190,kbs DK,(+2),271,1.1,187.0,1.03,77%,113.6,0.68,0.55,0.07,0.04,23%,20%,9/44,23,185,180,150,19,11
191,Leozin RED,(+1),296,1.1,254.3,1.15,71%,156.9,0.86,0.2,0.16,0.16,24%,12%,2/17,25,254,220,58,47,47
192,NaturE TSM,(+2),378,1.1,204.8,1.08,75%,131.2,0.7,0.36,0.1,0.09,24%,26%,8/31,28,265,246,136,39,35
