,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
0,shirazi SMG.GC,(+2),272,1.45,272.6,1.93,84%,177.4,1.02,0.17,0.14,0.05,28%,21%,6/28,26,278,144,46,38,14
1,florescent V1,,389,1.45,315.9,1.65,80%,203.9,1.12,0.24,0.25,0.11,29%,13%,4/31,28,435,264,92,99,41
2,Alexy SMG.GC,(+3),272,1.43,269.4,1.74,79%,185.9,1.02,0.29,0.18,0.09,38%,50%,11/22,27,277,159,78,49,25
3,keenc EG.GC,(+1),517,1.43,314.0,1.71,80%,191.8,1.12,0.21,0.21,0.08,20%,18%,9/49,36,577,338,111,107,42
4,Sayf TL,,209,1.35,265.8,1.48,76%,164.1,0.94,0.19,0.2,0.13,27%,20%,5/25,28,197,133,40,42,28
5,bstrdd TL,,367,1.33,287.5,1.55,77%,180.5,1.01,0.2,0.24,0.16,27%,16%,3/19,25,369,238,73,87,59
6,Kadoom SPE,,350,1.32,304.0,1.36,81%,192.7,1.0,0.27,0.28,0.16,25%,7%,1/14,30,350,257,96,99,57
7,Kyu SCC.V,(+2),289,1.32,261.8,1.42,77%,172.7,0.9,0.42,0.1,0.08,25%,21%,6/29,30,259,182,121,29,24
8,david 9z,,253,1.32,237.3,1.55,80%,153.1,0.9,0.43,0.05,0.03,31%,33%,11/33,26,228,147,109,13,7
9,azys OGS,(+1),330,1.31,270.5,1.5,74%,170.4,0.95,0.29,0.16,0.08,30%,33%,9/27,30,312,208,95,52,25
10,rubkkoide 9z,(+1),253,1.29,226.3,1.39,84%,145.5,0.79,0.61,0.06,0.04,31%,33%,11/33,21,200,144,155,14,9
11,Shao NAVI,(+2),318,1.29,217.7,1.47,83%,139.3,0.78,0.34,0.07,0.05,36%,25%,16/64,23,249,169,107,23,15
12,sScary BLD,(+1),301,1.28,237.2,1.34,84%,149.6,0.82,0.51,0.1,0.05,23%,17%,7/41,27,246,183,154,29,15
13,Leo FNC,(+1),485,1.28,223.3,1.42,81%,144.5,0.79,0.36,0.04,0.02,20%,24%,16/67,25,383,269,176,21,12
14,MaKo DRX,,276,1.28,228.5,1.37,80%,144.9,0.79,0.48,0.08,0.07,24%,24%,9/38,24,217,158,132,21,20
15,Keiko APK,,207,1.25,254.8,1.43,74%,164.9,0.93,0.17,0.19,0.15,26%,31%,4/13,26,192,134,36,40,32
16,Bizerra TL,(+3),367,1.24,215.6,1.23,80%,145.6,0.74,0.43,0.1,0.06,20%,30%,7/23,22,271,220,156,36,23
17,Jemkin SZ,(+1),283,1.24,270.6,1.41,74%,172.6,1.0,0.15,0.22,0.12,30%,16%,5/31,43,283,201,43,63,35
18,WeDid TTR,(+1),211,1.24,233.4,1.18,80%,148.9,0.8,0.48,0.08,0.06,30%,20%,5/25,22,168,142,102,17,13
19,Melvin UCSD,,310,1.23,280.4,1.33,74%,184.3,1.0,0.21,0.21,0.18,25%,20%,5/25,33,309,232,66,65,55
20,NiSMO M80,,404,1.23,222.5,1.25,80%,140.6,0.78,0.58,0.07,0.06,26%,27%,8/30,25,314,251,236,30,25
21,Kamiyu SMG.GC,(+2),272,1.23,221.3,1.29,84%,141.4,0.79,0.43,0.08,0.05,29%,21%,4/19,21,214,166,116,21,14
22,WUKONG FCY,,201,1.23,234.2,1.24,78%,152.1,0.82,0.42,0.18,0.09,26%,,0/7,29,165,133,85,37,19
23,aspas LOUD,,440,1.23,247.8,1.43,75%,156.1,0.91,0.16,0.17,0.1,26%,17%,10/60,30,399,279,71,75,42
24,Mistic APK,,207,1.23,229.8,1.28,76%,146.9,0.8,0.53,0.08,0.07,28%,14%,2/14,21,165,129,110,17,15
25,MONSTEERR ACE,,275,1.23,231.4,1.43,80%,153.6,0.87,0.23,0.06,0.06,27%,21%,7/34,26,238,167,63,16,17
26,n1zzy FCY,(+2),313,1.22,215.7,1.31,79%,138.1,0.76,0.42,0.09,0.07,29%,17%,7/42,23,238,182,132,28,22
27,Reduxx OXG,(+2),218,1.22,286.4,1.46,73%,181.5,1.06,0.14,0.22,0.14,32%,14%,3/22,30,230,157,31,49,31
28,gobera UNI,,551,1.22,268.3,1.34,69%,168.5,0.95,0.15,0.25,0.17,25%,25%,8/32,36,521,388,80,136,93
29,elllement CGN,(+1),324,1.22,261.1,1.35,75%,170.0,0.94,0.2,0.2,0.1,26%,18%,6/34,28,303,225,64,65,31
30,Noia V1,,389,1.22,217.8,1.42,77%,149.9,0.8,0.22,0.08,0.05,26%,24%,10/42,25,310,218,84,33,19
31,Life ASE,,528,1.22,261.3,1.36,73%,163.7,0.92,0.15,0.24,0.15,30%,15%,6/41,34,486,358,81,128,78
32,f1cio VIC,(+1),313,1.22,226.7,1.23,81%,149.6,0.79,0.51,0.11,0.07,30%,17%,5/30,26,247,201,161,33,21
33,Sato puGG,,410,1.22,260.7,1.33,72%,167.5,0.93,0.15,0.17,0.12,35%,23%,9/39,35,380,285,61,70,49
34,exy DK,(+1),286,1.21,205.8,1.3,80%,127.5,0.75,0.48,0.09,0.06,33%,16%,6/37,22,215,166,137,27,17
35,chloric LV,(+3),671,1.21,227.9,1.26,80%,148.4,0.78,0.38,0.08,0.07,18%,18%,13/73,26,526,418,254,56,47
36,benjii NW,,418,1.2,221.0,1.27,77%,141.5,0.77,0.27,0.07,0.06,19%,23%,13/57,21,320,251,114,29,24
37,Cloud GIA,,201,1.2,248.0,1.3,80%,160.5,0.88,0.28,0.1,0.09,32%,10%,2/20,30,176,135,57,20,19
38,qw1 FUT,,228,1.2,260.3,1.34,74%,164.2,0.93,0.18,0.21,0.14,23%,16%,5/32,31,212,158,40,49,32
39,daiki TL,,367,1.2,202.0,1.22,80%,130.2,0.72,0.52,0.07,0.05,25%,33%,15/45,25,265,217,190,27,20
40,markyy OAS,(+1),301,1.19,221.1,1.15,78%,147.6,0.75,0.46,0.07,0.06,26%,12%,4/34,26,226,196,137,21,17
41,Ali Crou,(+1),418,1.19,199.5,1.19,77%,127.1,0.71,0.46,0.09,0.08,29%,30%,13/43,23,298,251,193,38,35
