,Team,Wins,Loss,Ties,MAP,RND,Δ
0,FNATIC Europe,5,0,0,10/1,136/78,58
1,Natus Vincere Europe,5,1,0,10/4,181/144,37
2,Team Liquid Europe,4,2,0,9/6,170/143,27
3,Giants Gaming Europe,3,3,0,8/6,163/147,16
4,FUT Esports Turkey,3,3,0,7/6,129/130,-1
5,Team Vitality Europe,3,3,0,6/7,133/137,-4
6,BBL Esports Turkey,2,4,0,5/9,155/160,-5
7,Karmine Corp France,2,4,0,4/9,106/162,-56
8,KOI Europe,1,4,0,3/8,112/139,-27
9,Team Heretics Europe,1,5,0,4/10,116/161,-45
