,1
0,Sentinels 2 100 Thieves 1
1,KRÜ Esports 0 FURIA 2
2,LOUD 2 MIBR 1
3,Evil Geniuses 0 Cloud9 2
4,Leviatán 2 NRG Esports 0
5,Cloud9 1 LOUD 2
6,Leviatán 1 FURIA 2
7,NRG Esports 2 Sentinels 0
8,MIBR 2 KRÜ Esports 1
9,Evil Geniuses 0 100 Thieves 2
10,Cloud9 2 100 Thieves 0
11,NRG Esports 1 MIBR 2
12,Leviatán 2 Sentinels 1
13,Evil Geniuses 2 KRÜ Esports 1
14,LOUD 2 FURIA 0
15,LOUD 2 Sentinels 1
16,Leviatán 2 MIBR 0
17,KRÜ Esports 1 100 Thieves 2
18,Evil Geniuses 1 FURIA 2
19,NRG Esports 1 Cloud9 2
20,MIBR 0 Sentinels 2
21,Leviatán 1 100 Thieves 2
22,Evil Geniuses 1 LOUD 2
23,Cloud9 2 FURIA 0
24,NRG Esports 2 KRÜ Esports 0
25,NRG Esports 2 100 Thieves 0
26,MIBR 0 FURIA 2
27,Cloud9 2 Sentinels 0
28,Leviatán 1 Evil Geniuses 2
29,LOUD 2 KRÜ Esports 1
30,Evil Geniuses – Sentinels –
31,Cloud9 – MIBR –
32,LOUD – 100 Thieves –
33,Leviatán – KRÜ Esports –
34,NRG Esports – FURIA –
35,FURIA – 100 Thieves –
36,Evil Geniuses – MIBR –
37,KRÜ Esports – Sentinels –
38,NRG Esports – LOUD –
39,Leviatán – Cloud9 –
40,Sentinels – FURIA –
41,NRG Esports – Evil Geniuses –
42,Cloud9 – KRÜ Esports –
43,Leviatán – LOUD –
44,MIBR – 100 Thieves –
45,TBD – TBD –
46,TBD – TBD –
47,TBD – TBD –
48,TBD – TBD –
49,TBD – TBD –
50,TBD – TBD –
51,TBD – TBD –
52,TBD – TBD –
53,TBD – TBD –
54,TBD – TBD –
