,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
0,aspas LOUD,,352,1.28,261.4,1.58,79%,167.0,0.97,0.15,0.19,0.1,24%,19%,8/43,28,342,216,53,67,34
1,leaf C9,(+1),274,1.22,257.7,1.31,75%,165.3,0.91,0.26,0.21,0.13,21%,32%,6/19,26,250,191,71,57,36
2,kiNgg LEV,,351,1.19,216.4,1.22,78%,142.9,0.75,0.4,0.09,0.09,28%,23%,8/35,26,262,215,141,33,31
3,s0m NRG,(+2),280,1.15,206.5,1.2,79%,128.0,0.76,0.36,0.09,0.07,28%,29%,9/31,22,214,178,100,24,20
4,Less LOUD,,352,1.14,229.8,1.24,75%,150.4,0.78,0.26,0.11,0.08,23%,14%,7/50,23,276,222,91,37,27
5,nzr LEV,,351,1.14,190.8,1.17,78%,124.8,0.67,0.38,0.04,0.05,20%,10%,5/50,22,234,200,134,15,17
6,Khalil FUR,(+2),304,1.13,200.0,1.19,79%,129.6,0.71,0.3,0.05,0.05,28%,11%,4/35,25,217,182,91,14,16
7,Marved SEN,(+1),137,1.13,226.6,1.15,70%,147.7,0.82,0.31,0.15,0.13,31%,21%,3/14,20,112,97,42,21,18
8,Victor NRG,(+2),280,1.12,228.3,1.1,79%,146.6,0.76,0.34,0.18,0.12,20%,25%,8/32,30,213,193,95,49,34
9,jakee C9,(+1),274,1.1,210.1,1.07,78%,137.0,0.74,0.44,0.1,0.08,28%,21%,6/28,24,203,189,121,27,23
10,crashies NRG,(+1),280,1.09,210.2,1.13,77%,137.1,0.74,0.32,0.09,0.06,23%,24%,10/41,24,207,184,89,25,16
11,runi C9,(+2),274,1.08,184.8,1.01,79%,122.0,0.66,0.36,0.07,0.06,24%,21%,8/39,19,180,179,100,20,16
12,Mazino LEV,,351,1.08,213.6,1.07,74%,135.8,0.74,0.41,0.14,0.09,25%,7%,1/15,22,261,245,143,48,31
13,cauanzin LOUD,,352,1.08,206.7,1.13,80%,129.5,0.75,0.4,0.11,0.08,22%,21%,6/29,23,263,233,142,38,29
14,Zellsis C9,,274,1.05,194.4,1.08,72%,130.7,0.68,0.24,0.08,0.09,18%,21%,9/42,22,187,173,66,22,25
15,dgzin FUR,(+1),304,1.05,229.9,1.09,71%,144.2,0.79,0.15,0.23,0.14,26%,17%,4/23,24,240,220,46,69,44
16,BcJ EG,,68,1.05,186.7,0.92,74%,115.6,0.65,0.51,0.07,0.06,20%,17%,2/12,18,44,48,35,5,4
17,Asuna 100T,(+3),333,1.05,212.5,1.0,73%,142.5,0.72,0.39,0.12,0.13,19%,17%,6/36,27,240,240,131,40,42
18,zekken SEN,(+1),318,1.05,235.3,1.1,72%,157.8,0.79,0.27,0.13,0.14,23%,22%,7/32,29,251,228,85,40,45
19,Boostio EG,,346,1.03,214.8,1.05,68%,145.2,0.75,0.21,0.11,0.12,23%,14%,4/29,23,261,248,71,38,43
20,Xeppaa C9,,274,1.03,199.5,1.0,74%,131.5,0.71,0.41,0.09,0.08,24%,16%,3/19,24,194,194,111,25,23
21,Cryocells 100T,,333,1.02,201.6,0.95,71%,131.6,0.7,0.28,0.15,0.17,20%,11%,4/37,23,233,244,92,51,57
22,Shyy LEV,,351,1.02,189.1,1.0,72%,127.8,0.66,0.24,0.08,0.06,20%,9%,3/32,23,230,230,84,28,20
23,Demon1 EG,,278,1.01,204.5,1.06,68%,133.4,0.73,0.13,0.14,0.12,29%,9%,3/32,22,203,192,36,39,34
24,Tacolilla LEV,,351,1.01,196.7,1.02,70%,122.7,0.68,0.18,0.18,0.19,19%,8%,2/26,19,237,233,62,62,65
25,bang 100T,(+1),333,1.01,202.4,0.98,74%,128.7,0.7,0.37,0.07,0.08,28%,42%,8/19,25,234,240,123,24,25
26,tuyz LOUD,,352,1.01,166.6,0.98,80%,106.9,0.6,0.44,0.05,0.06,23%,19%,5/27,21,212,217,155,18,22
27,Ethan EG,,346,1.0,196.8,0.92,74%,127.0,0.67,0.46,0.07,0.07,23%,8%,3/37,21,231,250,160,23,23
28,Melser KRÜ,(+1),351,1.0,193.3,0.95,72%,126.4,0.67,0.35,0.07,0.08,30%,12%,6/51,21,235,247,122,24,28
29,ardiis NRG,(+1),280,0.99,202.6,0.99,73%,133.3,0.69,0.23,0.15,0.12,18%,,0/21,23,194,195,64,41,33
30,Sacy SEN,(+4),318,0.99,206.1,1.01,71%,134.8,0.72,0.36,0.08,0.08,32%,15%,6/40,23,228,226,113,26,24
31,Derrek 100T,(+1),333,0.98,186.7,0.91,71%,129.3,0.64,0.35,0.06,0.07,31%,9%,5/53,23,212,232,116,20,22
32,jzz MIBR,(+1),335,0.98,195.3,0.98,74%,124.1,0.7,0.37,0.09,0.1,28%,11%,4/35,30,235,240,125,30,33
33,NagZ KRÜ,,351,0.98,191.4,0.96,70%,130.2,0.64,0.24,0.09,0.06,20%,16%,10/61,20,224,233,85,33,21
34,heat MIBR,,335,0.97,213.1,1.0,66%,139.3,0.74,0.13,0.16,0.19,26%,7%,2/29,23,247,248,42,53,63
