,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
35,Mazin FUR,(+1),304,0.97,177.6,0.94,71%,120.0,0.63,0.39,0.07,0.1,28%,26%,10/38,26,190,202,118,22,30
36,mwzera FUR,(+1),304,0.97,203.6,0.99,74%,136.9,0.69,0.34,0.08,0.12,19%,3%,1/30,30,211,214,104,25,35
37,saadhak LOUD,(+2),352,0.96,189.7,0.83,72%,127.8,0.58,0.43,0.1,0.13,19%,12%,4/33,20,205,247,152,35,45
38,keznit KRÜ,,351,0.95,224.7,1.04,65%,151.9,0.79,0.17,0.19,0.21,26%,16%,5/31,27,277,267,58,65,72
39,RgLMeister MIBR,(+1),335,0.94,177.5,0.91,73%,118.8,0.64,0.37,0.05,0.06,22%,12%,6/51,24,214,236,123,18,20
40,C0M EG,(+1),346,0.94,172.8,0.85,71%,122.0,0.58,0.34,0.07,0.1,23%,16%,10/64,22,201,236,116,24,35
41,DaveeyS KRÜ,(+2),281,0.93,170.6,0.81,70%,109.8,0.58,0.46,0.07,0.09,20%,18%,6/34,26,163,201,129,19,25
42,pANcada SEN,,318,0.93,179.3,0.92,70%,124.0,0.61,0.23,0.04,0.08,23%,12%,7/57,22,194,212,72,14,26
43,Quick FUR,(+1),304,0.93,180.4,0.93,69%,119.2,0.64,0.23,0.08,0.08,25%,16%,5/32,21,196,210,69,24,25
44,stellar 100T,,333,0.92,179.8,0.88,70%,118.1,0.62,0.21,0.09,0.07,21%,6%,3/48,21,205,234,70,29,23
45,FNS NRG,(+2),280,0.89,178.5,0.81,71%,120.4,0.58,0.36,0.06,0.08,18%,21%,6/28,16,163,202,102,17,22
46,jawgemo EG,(+1),346,0.88,194.6,0.81,71%,126.8,0.65,0.34,0.08,0.14,19%,8%,2/26,22,224,278,117,29,49
47,murizzz MIBR,,335,0.88,181.3,0.87,65%,125.0,0.62,0.35,0.07,0.11,23%,11%,4/37,24,209,240,118,25,38
48,axeddy KRÜ,,70,0.88,189.7,0.87,73%,122.6,0.64,0.24,0.07,0.16,26%,,0/4,23,45,52,17,5,11
49,frz MIBR,,335,0.87,183.9,0.87,70%,131.7,0.62,0.2,0.08,0.08,28%,9%,4/43,27,208,240,67,27,28
50,Klaus KRÜ,(+1),351,0.84,166.0,0.77,69%,103.4,0.57,0.4,0.06,0.08,19%,,0/29,22,201,261,140,21,27
51,TenZ SEN,,181,0.82,178.6,0.9,64%,123.1,0.64,0.18,0.12,0.24,20%,13%,2/16,25,116,129,32,21,43
52,dephh SEN,(+3),318,0.79,154.2,0.71,69%,102.2,0.53,0.38,0.05,0.08,23%,21%,6/29,21,169,238,122,16,24
