,Team,Wins,Loss,Ties,MAP,RND,Δ
0,DRX South Korea,6,0,0,12/2,178/113,65
1,Gen.G South Korea,4,2,0,9/5,148/135,13
2,Paper Rex Singapore,4,2,0,9/6,171/141,30
3,T1 South Korea,4,2,0,8/6,136/139,-3
4,ZETA DIVISION Japan,4,2,0,8/7,166/161,5
5,Team Secret Philippines,3,3,0,7/8,164/162,2
6,Global Esports India,2,4,0,7/8,165/162,3
7,Rex Regum Qeon Indonesia,2,4,0,6/8,133/150,-17
8,Talon Esports Thailand,1,5,0,4/10,121/171,-50
9,DetonatioN FocusMe Japan,0,6,0,2/12,121/169,-48
